VideoID	VideoLink	ChannelID	ChannelName	ChannelType	VideoTitle	Likes	Subscribers	Views	PublishTime	Duration	Comments	Type
UwJIOWbdr_U	https://www.youtube.com/watch?v=UwJIOWbdr_U	UCuqtKp77ZbFRUFLq05-ddkw	B?nh vi?n ?KQT Vinmec	Personal	D?u hi?u ti?u ???ng - ??ng b? qua	0	723000	382416	2022-06-21T13:00:14Z	3M49S	146	1
V_1y2p_icIk	https://www.youtube.com/watch?v=V_1y2p_icIk	UCIg56SgvoZF8Qg0Jx_gh6Pg	ANTV - Truy?n hình Công an Nhân dân	Personal	Nguyên Nhân và Cách Phòng Ng?a B?nh ?ái Tháo ???ng | S?c kh?e 365 | ANTV	335	8020000	86919	2022-07-07T07:35:25Z	5M4S	1	1
eBKARM9Lw2g	https://www.youtube.com/watch?v=eBKARM9Lw2g	UCZnhEIF8a5Uv4GMPwT6KafQ	KÊNH VTC16	Personal	"Cách ?i?u tr?, nh?n bi?t, tri?u ch?ng b?nh ti?u ???ng | VTC16"	750	1890000	375242	2020-07-08T08:15:40Z	56S	29	1
nE9Vwf0NA0A	https://www.youtube.com/watch?v=nE9Vwf0NA0A	UCct2g5hB_fPavwUseYXG_6g	B?nh vi?n ??i h?c Y d??c TP.HCM	Personal	"?I?U TR? B?NH TI?U ???NG, CÁC PH??NG PHÁP ?I?U TR? M?I NH?T HI?N NAY"	444	191000	64597	2023-10-27T08:38:49Z	13M50S	22	1
Yga_jgXMlf4	https://www.youtube.com/watch?v=Yga_jgXMlf4	UCuqtKp77ZbFRUFLq05-ddkw	B?nh vi?n ?KQT Vinmec	Personal	Bi?n ch?ng nguy hi?m c?a b?nh ?ái tháo ???ng	0	723000	3102488	2023-06-01T13:00:33Z	4M32S	21	1
_7OCvMLVErE	https://www.youtube.com/watch?v=_7OCvMLVErE	UCinkijG72G87sn-mtaFJTbA	KÊNH VTC14	Personal	H?t n?i lo bi?n ch?ng B?nh Ti?u ???ng | VTC14	191	3430000	33361	2022-07-06T01:15:09Z	3M49S	12	1
jOYFfQhWE7U	https://www.youtube.com/watch?v=jOYFfQhWE7U	UCayjJ3mBmH7N0eX8Qb7kIsw	BV Hoan My Saigon	Personal	"?ái tháo ???ng | Hi?u rõ nguyên nhân, Bi?n ch?ng và Phát hi?n ?i?u tr?"	466	128000	80193	2020-04-18T13:21:01Z	16M41S	27	1
yB8QYIeojKM	https://www.youtube.com/watch?v=yB8QYIeojKM	UCr8i-5AIxdiJbI0HdGdUzIA	Báo Lao ??ng	Personal	D?u hi?u c?nh báo s?m c?a b?nh ti?u ???ng lo?i 1 so v?i lo?i 2 | Báo Lao ??ng	33	984000	11396	2024-07-12T08:13:54Z	42S	0	1
iHX8Gem7KyQ	https://www.youtube.com/watch?v=iHX8Gem7KyQ	UCWRwpZ0mKqbqI9O8D-r84cg	Bác S? C?a Bé	Personal	"TUY?T V?I! B?NH TI?U ???NG: D?u Hi?u, Nguyên Nhân và Cách Phòng Ng?a Hi?u Qu?"	5	15	29	2025-08-11T12:01:24Z	5M19S	1	1
pO4O3JQ_1no	https://www.youtube.com/watch?v=pO4O3JQ_1no	UCD09NCZlzMj4yGvGkLbuBpw	Báo S?c kh?e & ??i s?ng	Personal	"5 Lo?i Th?c Ph?m Giúp Ch?ng L?i ""K? Thù"" Ti?u ???ng | SK?S"	274	3000000	67477	2022-11-15T07:06:42Z	2M30S	0	1
x3o9eGmc2Qg	https://www.youtube.com/watch?v=x3o9eGmc2Qg	UCD09NCZlzMj4yGvGkLbuBpw	Báo S?c kh?e & ??i s?ng	Personal	?ái Tháo ???ng: Nh?n Bi?t B?nh S?m Qua Nh?ng D?u Hi?u Nào? I SK?S	555	3000000	217226	2023-03-29T02:15:01Z	2M2S	0	1
BcsQYt4Bcs8	https://www.youtube.com/watch?v=BcsQYt4Bcs8	UCD09NCZlzMj4yGvGkLbuBpw	Báo S?c kh?e & ??i s?ng	Personal	"Tác D?ng C?a Trà, Cà Phê V?i B?nh Ti?u ???ng | SK?S"	324	3000000	107435	2023-05-02T08:45:01Z	1M54S	0	1
oZRSFdJQ_NA	https://www.youtube.com/watch?v=oZRSFdJQ_NA	UCD09NCZlzMj4yGvGkLbuBpw	Báo S?c kh?e & ??i s?ng	Personal	L?i Ích C?a Thanh Long V?i Ng??i B?nh Ti?u ???ng | SK?S	159	3000000	43920	2023-03-22T08:30:20Z	2M13S	0	1
gZhChfwmBYM	https://www.youtube.com/watch?v=gZhChfwmBYM	UCayjJ3mBmH7N0eX8Qb7kIsw	BV Hoan My Saigon	Personal	Ch? ?? ?n cho ng??i b?nh ti?u ???ng (?ái tháo ???ng) và nh?ng th?c ph?m c?n kiêng ?n | Khoa N?i ti?t	2568	128000	484457	2020-10-14T21:06:04Z	1H3M3S	165	1
eTFvni5kfCA	https://www.youtube.com/watch?v=eTFvni5kfCA	UCuqtKp77ZbFRUFLq05-ddkw	B?nh vi?n ?KQT Vinmec	Personal	Có ph?i c? ?n nhi?u ???ng là b? ti?u ???ng?	0	723000	182251	2022-07-01T13:00:32Z	4M7S	54	1
mm97WhnITLo	https://www.youtube.com/watch?v=mm97WhnITLo	UCYO8RPtaJnD2bxC8CZl1_PA	Dr Ng?c Official 	Organization	6 ?i?u B?n C?n Bi?t V? B?nh Lý Ti?u ???ng | Dr Ng?c	2982	1310000	244460	2023-02-16T04:00:11Z	16M8S	408	1
Y9IfUeu4vEY	https://www.youtube.com/watch?v=Y9IfUeu4vEY	UCD09NCZlzMj4yGvGkLbuBpw	Báo S?c kh?e & ??i s?ng	Personal	Ng??i b?nh ti?u ???ng nên ?n theo th? t? nào ?? tránh bi?n ch?ng h? ???ng huy?t? | SK?S	239	3000000	61927	2024-08-20T06:45:07Z	9M9S	0	1
1iGFcBciuvc	https://www.youtube.com/watch?v=1iGFcBciuvc	UCayjJ3mBmH7N0eX8Qb7kIsw	BV Hoan My Saigon	Personal	Phòng bi?n ch?ng h? ???ng huy?t ? ng??i b?nh ti?u ???ng (?ái tháo ???ng) | Khoa N?i ti?t	472	128000	84469	2020-11-14T20:45:48Z	41M27S	41	1
_y41v5tcwMg	https://www.youtube.com/watch?v=_y41v5tcwMg	UCayjJ3mBmH7N0eX8Qb7kIsw	BV Hoan My Saigon	Personal	Ch?n ?oán và ?i?u tr? ?ái tháo ???ng type 2 (ti?u ???ng tuýp 2) | Khoa N?i ti?t	737	128000	144892	2020-05-26T21:02:05Z	57M54S	62	1
eB5teB8Azl8	https://www.youtube.com/watch?v=eB5teB8Azl8	UCuqtKp77ZbFRUFLq05-ddkw	B?nh vi?n ?KQT Vinmec	Personal	Gi?i pháp phòng ng?a và ?i?u tr? b?nh ti?u ???ng	0	723000	12625	2023-02-22T12:34:00Z	27M10S	2	1
vlu47jjlj-k	https://www.youtube.com/watch?v=vlu47jjlj-k	UCr8i-5AIxdiJbI0HdGdUzIA	Báo Lao ??ng	Personal	Ng??i b?nh ti?u ???ng ?n ?u ?? có b? ?nh h??ng không? | Báo Lao ??ng	13	984000	5997	2024-12-17T13:33:37Z	58S	0	1
xFNgxcidAuQ	https://www.youtube.com/watch?v=xFNgxcidAuQ	UCAgehYjUxNc7vHpf3F06mXQ	Video AloBacsi	Personal	Ng??i b? b?nh ti?u ???ng nên ?n gì và nên kiêng gì?	522	1650000	126233	2023-02-19T02:30:48Z	4M1S	8	1
N-gQS8ypmMQ	https://www.youtube.com/watch?v=N-gQS8ypmMQ	UCYO8RPtaJnD2bxC8CZl1_PA	Dr Ng?c Official 	Organization	Cách Nh?n Bi?t B?nh Ti?u ???ng Tuýp 1 Và Tuýp 2 | Dr Ng?c	690	1310000	57760	2023-10-16T05:00:09Z	4M12S	107	1
XWBSzrrlBFg	https://www.youtube.com/watch?v=XWBSzrrlBFg	UCOMskN2D_vfshrGgpL-o55Q	B?NH VI?N ?A KHOA MEDLATEC	Personal	Bác s? h??ng d?n phân bi?t ti?u ???ng type 1 và ti?u ???ng type 2	29	86300	3414	2025-05-20T08:15:51Z	1M25S	0	1
55bOPMMJhGg	https://www.youtube.com/watch?v=55bOPMMJhGg	UC_kSOy981Lct-JHkCcpgsZg	Dr. Wynn Tran Official	Organization	#26. B?nh Ti?u ???ng	691	819000	32291	2019-05-06T03:59:30Z	5M54S	45	1
snjT-pH-6h4	https://www.youtube.com/watch?v=snjT-pH-6h4	UCuqtKp77ZbFRUFLq05-ddkw	B?nh vi?n ?KQT Vinmec	Personal	Ti?u ???ng bi?n ch?ng c?c k? nguy hi?m| BS Võ Hà B?ng S??ng - Vinmec Phú Qu?c	0	723000	226077	2021-04-16T03:30:12Z	7M18S	109	1
eA_X0evEUBg	https://www.youtube.com/watch?v=eA_X0evEUBg	UCuqtKp77ZbFRUFLq05-ddkw	B?nh vi?n ?KQT Vinmec	Personal	??ng l? là - Tr? em c?ng có th? m?c b?nh ti?u ???ng!!!	0	723000	3968	2022-07-03T13:00:32Z	3M12S	0	1
3BygOyYuKb8	https://www.youtube.com/watch?v=3BygOyYuKb8	UCr8i-5AIxdiJbI0HdGdUzIA	Báo Lao ??ng	Personal	?n nhi?u ???ng có gây ra b?nh ti?u ???ng không? | Báo Lao ??ng	3	984000	1582	2024-09-22T13:45:00Z	1M22S	0	1
jOHt-_0f7V0	https://www.youtube.com/watch?v=jOHt-_0f7V0	UCYO8RPtaJnD2bxC8CZl1_PA	Dr Ng?c Official 	Organization	5 ?i?u C?n Bi?t V? B?nh Ti?n Ti?u ???ng | Dr Ng?c	3557	1310000	213552	2023-03-09T06:30:08Z	12M25S	888	1
s5-NeN97uuE	https://www.youtube.com/watch?v=s5-NeN97uuE	UCr8i-5AIxdiJbI0HdGdUzIA	Báo Lao ??ng	Personal	M?c b?nh ti?u ???ng type 1 hay type 2 n?ng h?n? | Báo Lao ??ng	2	984000	444	2024-12-22T10:45:05Z	53S	0	1
lHnp8s8dSAo	https://www.youtube.com/watch?v=lHnp8s8dSAo	UC0Rd9opm-RIWEoMvhq6ottQ	THVL T?ng H?p	Personal	Ch? s? ???ng huy?t nh? th? nào ???c xem là b? ?ái tháo ???ng | S?ng kh?e m?i ngày - K? 897	406	1840000	106646	2020-12-11T08:27:21Z	5M44S	1	1
