VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments,Type
UwJIOWbdr_U,https://www.youtube.com/watch?v=UwJIOWbdr_U,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Dấu hiệu tiểu đường - đừng bỏ qua,0,723000,382416,2022-06-21T13:00:14Z,3M49S,146,1
V_1y2p_icIk,https://www.youtube.com/watch?v=V_1y2p_icIk,UCIg56SgvoZF8Qg0Jx_gh6Pg,ANTV - Truyền hình Công an Nhân dân,Personal,Nguyên Nhân và Cách Phòng Ngừa Bệnh Đái Tháo Đường | Sức khỏe 365 | ANTV,335,8020000,86919,2022-07-07T07:35:25Z,5M4S,1,1
eBKARM9Lw2g,https://www.youtube.com/watch?v=eBKARM9Lw2g,UCZnhEIF8a5Uv4GMPwT6KafQ,KÊNH VTC16,Personal,"Cách điều trị, nhận biết, triệu chứng bệnh tiểu đường | VTC16",750,1890000,375242,2020-07-08T08:15:40Z,56S,29,1
nE9Vwf0NA0A,https://www.youtube.com/watch?v=nE9Vwf0NA0A,UCct2g5hB_fPavwUseYXG_6g,Bệnh viện Đại học Y dược TP.HCM,Personal,"ĐIỀU TRỊ BỆNH TIỂU ĐƯỜNG, CÁC PHƯƠNG PHÁP ĐIỀU TRỊ MỚI NHẤT HIỆN NAY",444,191000,64597,2023-10-27T08:38:49Z,13M50S,22,1
Yga_jgXMlf4,https://www.youtube.com/watch?v=Yga_jgXMlf4,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Biến chứng nguy hiểm của bệnh đái tháo đường,0,723000,3102488,2023-06-01T13:00:33Z,4M32S,21,1
_7OCvMLVErE,https://www.youtube.com/watch?v=_7OCvMLVErE,UCinkijG72G87sn-mtaFJTbA,KÊNH VTC14,Personal,Hết nỗi lo biến chứng Bệnh Tiểu Đường | VTC14,191,3430000,33361,2022-07-06T01:15:09Z,3M49S,12,1
jOYFfQhWE7U,https://www.youtube.com/watch?v=jOYFfQhWE7U,UCayjJ3mBmH7N0eX8Qb7kIsw,BV Hoan My Saigon,Personal,"Đái tháo đường | Hiểu rõ nguyên nhân, Biến chứng và Phát hiện Điều trị",466,128000,80193,2020-04-18T13:21:01Z,16M41S,27,1
yB8QYIeojKM,https://www.youtube.com/watch?v=yB8QYIeojKM,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,Dấu hiệu cảnh báo sớm của bệnh tiểu đường loại 1 so với loại 2 | Báo Lao Động,33,984000,11396,2024-07-12T08:13:54Z,42S,0,1
iHX8Gem7KyQ,https://www.youtube.com/watch?v=iHX8Gem7KyQ,UCWRwpZ0mKqbqI9O8D-r84cg,Bác Sĩ Của Bé,Personal,"TUYỆT VỜI! BỆNH TIỂU ĐƯỜNG: Dấu Hiệu, Nguyên Nhân và Cách Phòng Ngừa Hiệu Quả",5,15,29,2025-08-11T12:01:24Z,5M19S,1,1
pO4O3JQ_1no,https://www.youtube.com/watch?v=pO4O3JQ_1no,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,"5 Loại Thực Phẩm Giúp Chống Lại ""Kẻ Thù"" Tiểu Đường | SKĐS",274,3000000,67477,2022-11-15T07:06:42Z,2M30S,0,1
x3o9eGmc2Qg,https://www.youtube.com/watch?v=x3o9eGmc2Qg,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Đái Tháo Đường: Nhận Biết Bệnh Sớm Qua Những Dấu Hiệu Nào? I SKĐS,555,3000000,217226,2023-03-29T02:15:01Z,2M2S,0,1
BcsQYt4Bcs8,https://www.youtube.com/watch?v=BcsQYt4Bcs8,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,"Tác Dụng Của Trà, Cà Phê Với Bệnh Tiểu Đường | SKĐS",324,3000000,107435,2023-05-02T08:45:01Z,1M54S,0,1
