VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
XWBSzrrlBFg,https://www.youtube.com/watch?v=XWBSzrrlBFg,UCOMskN2D_vfshrGgpL-o55Q,BỆNH VIỆN ĐA KHOA MEDLATEC,Personal,Bác sĩ hướng dẫn phân biệt tiểu đường type 1 và tiểu đường type 2,29,86300,3414,2025-05-20T08:15:51Z,1M25S,0
s5-NeN97uuE,https://www.youtube.com/watch?v=s5-NeN97uuE,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,Mắc bệnh tiểu đường type 1 hay type 2 nặng hơn? | Báo Lao Động,2,984000,444,2024-12-22T10:45:05Z,53S,0
N-gQS8ypmMQ,https://www.youtube.com/watch?v=N-gQS8ypmMQ,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Cách Nhận Biết Bệnh Tiểu Đường Tuýp 1 Và Tuýp 2 | Dr Ngọc,690,1310000,57763,2023-10-16T05:00:09Z,4M12S,107
Ct1uwOhbPMo,https://www.youtube.com/watch?v=Ct1uwOhbPMo,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Sự khác nhau giữa đái tháo đường tuýp 1 và tuýp 2 là gì? | SKĐS,17,3000000,2376,2024-11-18T02:00:06Z,5M12S,0
w_XNzNoLPq8,https://www.youtube.com/watch?v=w_XNzNoLPq8,UClZZdvv78ltdyE9sYdcWh9Q,Bác Sĩ Chính Mình,Personal,"CÁCH NHẬN BIẾT TIỂU ĐƯỜNG TYPE 1, TYPE 2 KHÁC NHAU NHƯ THẾ NÀO?",23,117000,614,2023-03-18T01:24:54Z,3M34S,2
Y0CrrpmlYM8,https://www.youtube.com/watch?v=Y0CrrpmlYM8,UCLXwTlUcQi4LGH5sq_fyMAg,LONG AN TV,Personal,Bệnh Tiểu Đường Type 1 | Sức Khỏe Là Vàng | LONG AN TV,2,349000,615,2018-12-10T08:08:23Z,9M9S,0
yB8QYIeojKM,https://www.youtube.com/watch?v=yB8QYIeojKM,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,Dấu hiệu cảnh báo sớm của bệnh tiểu đường loại 1 so với loại 2 | Báo Lao Động,33,984000,11403,2024-07-12T08:13:54Z,42S,0
I4oIxQMwYsU,https://www.youtube.com/watch?v=I4oIxQMwYsU,UCpfNT4Shp-UJ8Dbzowm_YRQ,Bệnh Viện Đa Khoa Tâm Anh,Personal,Phân biệt đái tháo đường tuýp 1 và đái tháo đường tuýp 2#shorts,303,85500,28305,2023-02-07T13:57:19Z,57S,3
iHX8Gem7KyQ,https://www.youtube.com/watch?v=iHX8Gem7KyQ,UCWRwpZ0mKqbqI9O8D-r84cg,Bác Sĩ Của Bé,Personal,"TUYỆT VỜI! BỆNH TIỂU ĐƯỜNG: Dấu Hiệu, Nguyên Nhân và Cách Phòng Ngừa Hiệu Quả",5,15,29,2025-08-11T12:01:24Z,5M19S,1
HlPywUbtCdU,https://www.youtube.com/watch?v=HlPywUbtCdU,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,So sánh sự nguy hiểm của tiểu đường type 1 và type 2,42,1650000,9357,2019-03-28T05:27:09Z,1M3S,3
zDchpft9YA0,https://www.youtube.com/watch?v=zDchpft9YA0,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Covid-19 Làm Tăng Nguy Cơ Mắc Bệnh Đái Tháo Đường Type 1 Ở Trẻ Em | SKĐS,6,3000000,1043,2022-09-29T02:00:13Z,2M55S,0
UwJIOWbdr_U,https://www.youtube.com/watch?v=UwJIOWbdr_U,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Dấu hiệu tiểu đường - đừng bỏ qua,0,723000,382416,2022-06-21T13:00:14Z,3M49S,146
zKNkN08szXI,https://www.youtube.com/watch?v=zKNkN08szXI,UCNbodx_2BbN_FzbO4_4NG0g,IVIE - BÁC SĨ ƠI,Personal,"Bệnh tiểu đường loại 1: Dấu hiệu, triệu chứng, và điều trị",85,3600,16455,2021-06-29T02:00:08Z,2M53S,5
Yga_jgXMlf4,https://www.youtube.com/watch?v=Yga_jgXMlf4,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Biến chứng nguy hiểm của bệnh đái tháo đường,0,723000,3102489,2023-06-01T13:00:33Z,4M32S,21
vH1lzcCyVVQ,https://www.youtube.com/watch?v=vH1lzcCyVVQ,UCnvRguki7Lg9Xix4GvtqQ5A,ihope,Personal,Tiểu đường tuýp 1,5,1570,778,2021-04-19T02:56:51Z,5M22S,1
5T7gsyxyrmc,https://www.youtube.com/watch?v=5T7gsyxyrmc,UC_ENX1bEnmdo4FOaA8buaAw,Hidichi - Mua Sắm Tiết Kiệm - Giá Rẻ Cho Mọi Nhà!,Personal,Điều Trị Bệnh Tiểu Đường Type 1 và 2 – Thanh Đường Gamosa – Hỗ Trợ Điều Trị Bệnh Tiểu Đường,0,632,680,2018-10-04T07:25:33Z,3M12S,4
nE9Vwf0NA0A,https://www.youtube.com/watch?v=nE9Vwf0NA0A,UCct2g5hB_fPavwUseYXG_6g,Bệnh viện Đại học Y dược TP.HCM,Personal,"ĐIỀU TRỊ BỆNH TIỂU ĐƯỜNG, CÁC PHƯƠNG PHÁP ĐIỀU TRỊ MỚI NHẤT HIỆN NAY",444,191000,64584,2023-10-27T08:38:49Z,13M50S,22
TLYB8g66A_k,https://www.youtube.com/watch?v=TLYB8g66A_k,UCZnhEIF8a5Uv4GMPwT6KafQ,KÊNH VTC16,Personal,Điều trị tiểu đường bằng cây đinh lăng? | VTC16,310,1890000,105566,2023-11-16T09:57:00Z,11M13S,26
CQfaZwgx8O4,https://www.youtube.com/watch?v=CQfaZwgx8O4,UCMTgeYcN03bd3Sy4JFQD3YA,Diệp Thảo ShangHai,Personal,"DI ĐƯỜNG AN - Dùng cho người mắc bệnh tiểu đường type 1, type 2 #shortvideo #trending #tieuduong",0,899,84,2023-11-26T13:00:11Z,1M,0
gZhChfwmBYM,https://www.youtube.com/watch?v=gZhChfwmBYM,UCayjJ3mBmH7N0eX8Qb7kIsw,BV Hoan My Saigon,Personal,Chế độ ăn cho người bệnh tiểu đường (đái tháo đường) và những thực phẩm cần kiêng ăn | Khoa Nội tiết,2568,128000,484450,2020-10-14T21:06:04Z,1H3M3S,165
_y41v5tcwMg,https://www.youtube.com/watch?v=_y41v5tcwMg,UCayjJ3mBmH7N0eX8Qb7kIsw,BV Hoan My Saigon,Personal,Chẩn đoán và điều trị đái tháo đường type 2 (tiểu đường tuýp 2) | Khoa Nội tiết,737,128000,144893,2020-05-26T21:02:05Z,57M54S,62
lsL2gpzrA6A,https://www.youtube.com/watch?v=lsL2gpzrA6A,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,6 Cách Đảo Ngược Tiền Tiểu Đường Không Cần Dùng Thuốc | Dr Ngọc,2858,1310000,185469,2023-03-08T13:30:07Z,6M44S,317
WcI6NAymuNI,https://www.youtube.com/watch?v=WcI6NAymuNI,UCinkijG72G87sn-mtaFJTbA,KÊNH VTC14,Personal,Trẻ 8 tuổi nhập viện vì tiểu đường type 1 nặng | VTC14,35,3430000,26766,2023-02-13T09:34:37Z,1M17S,0
MQWObS6pFXM,https://www.youtube.com/watch?v=MQWObS6pFXM,UCbASh_T7D9xeezVtyiKt6CA,Khanh Duong,Personal,Video 7 - Điều trị đái tháo đường type 1,362,78900,32402,2023-02-24T06:19:46Z,1H53M3S,26
EsCDfXWgQ-w,https://www.youtube.com/watch?v=EsCDfXWgQ-w,UCkUgUwqHmGVx2jzUeaMyQdA,Minh Duc Vu Official,Organization,TIỂU ĐƯỜNG TÍP 1️⃣ & TÍP 2️⃣ ⚡️ LOẠI NÀO NẶNG HƠN❓| BS.CK2. VŨ MINH ĐỨC (PK GOLDEN CARE),8451,237000,588763,2021-10-26T06:00:14Z,29M42S,817
jOHt-_0f7V0,https://www.youtube.com/watch?v=jOHt-_0f7V0,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,5 Điều Cần Biết Về Bệnh Tiền Tiểu Đường | Dr Ngọc,3557,1310000,213564,2023-03-09T06:30:08Z,12M25S,888
gBWYEG6fnt8,https://www.youtube.com/watch?v=gBWYEG6fnt8,UCg_uv-kUvUfTfv6KLa1dnVw,Hội Phổi Việt Nam,Personal,"VILA - Hướng dẫn điều trị tiểu đường type 1,2. Lưu ý điều trị tiểu đường bệnh nhân lao kháng thuốc",2,13200,120,2022-03-11T06:00:19Z,48M9S,0
rLRRgI8OXA8,https://www.youtube.com/watch?v=rLRRgI8OXA8,UCRdD55JrlRDzHeec3bKrH4g,VOA Tiếng Việt,Personal,Vắc-xin BCG có thể đảo ngược bệnh tiểu đường loại 1,10,1760000,8844,2012-08-30T03:06:09Z,2M41S,1
_vny22CiIxI,https://www.youtube.com/watch?v=_vny22CiIxI,UCyC4gCgS2BCTDvRJipdSP5Q,Khanh Duong MD,Personal,Thế nào là đái tháo đường type 1 và type 2?,428,21600,18255,2020-11-08T08:14:43Z,11M40S,38
lH9t02JHB1U,https://www.youtube.com/watch?v=lH9t02JHB1U,UCWfSYqkTHb-hBdtCYWKFBsQ,Trạm Tin Đó Đây,Personal,Barbie ra mắt búp bê mắc bệnh tiểu đường type 1,2,16200,548,2025-07-09T07:33:36Z,2M18S,0
S2Ia7nazNqs,https://www.youtube.com/watch?v=S2Ia7nazNqs,UCj4fwpXgw-jyiZ4TPAdChbw,OsmosisVietnamese,Personal,Đái tháo đường,3502,119000,303017,2017-07-14T13:33:14Z,17M53S,119
BcsQYt4Bcs8,https://www.youtube.com/watch?v=BcsQYt4Bcs8,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,"Tác Dụng Của Trà, Cà Phê Với Bệnh Tiểu Đường | SKĐS",324,3000000,107434,2023-05-02T08:45:01Z,1M54S,0
